,index,NO,song,group,lyrics
0,0,1,ANTIFRAGILE (song),Le Sserafim, anti ti ti ti fragile fragile anti ti ti ti fragile anti ti ti ti fragile fragile antifragile antifragile oer the trail of thorns you made me boost up party packed with lies they dont een burn much talk behind my back rials i neer knew i had they all pray for the day im falling onto their hands imma jump in gimme that like a majestic lion eyes glinting with so much desire more out gasoline on fire fly again rising through the flames forget my pointe shoes i left behind what more must be said underestimate the path ie walked i go to ride till i die die climb higher top of the world i itched for no biggie if i were to fall im antifragile antifragile now im on my way toss away your fairy tale now you know my name im antifragile antifragile anti ti ti ti fragile fragile anti ti ti ti fragile anti ti ti ti fragile fragile antifragile antifragile loey loey doey doey doey defining me howeer youd like i dont know what to say i cant feel it attention welcome cute jealousy go ahead puppets no thanks with my song ill build my future gimme that like a majestic lion eyes glinting with so much desire more out gasoline on fire fly again rising through the flames forget my pointe shoes i left behind what more must be said underestimate the path ie walked i go to ride till i die die climb higher top of the world i itched for no biggie if i were to fall im antifragile antifragile now im on my way toss away your fairy tale now you know my name im antifragile antifragile anti ti ti ti fragile fragile anti ti ti ti fragile anti ti ti ti fragile fragile antifragile antifragile can break it baby rock it twist it lock it baby all i know is you cant chain me im gonna break out gonna gonna break out out can break it baby rock it twist it lock it baby all i know is you cant chain me im gonna break out gonna gonna break out out climb higher top of the world i itched for no biggie if i were to fall im antifragile antifragile now im on my way toss away your fairy tale now you know my name im antifragile antifragile anti ti ti ti fragile fragile anti ti ti ti fragile anti ti ti ti fragile fragile antifragile antifragile
1,1,6,Blue Flame,Le Sserafim,like it ill like it like that feeling something like im being possessed a woozy glare from afar force that leads me into the fog een hotter than a flame blue arbitrarily and disappeared like it ill like it like that woozy blue light turned splendidly oh it to the point you burn your hands crossing the unknown boundaries and spread it out to the end quite beautiful on a free day as long as it burns i cant stop my desire o the wisp babe oh baby its blue flame will o the wisp babe that that is faction o the wisp babe oh baby its blue flame will o the wisp babe that that is faction unknown eil hides in fear darkness sees glow to get out of it matter whats oer there its just a blue curiosity arbitrarily and disappeared like it ill like it like that woozy blue light turned splendidly oh it to the point you burn your hands crossing the unknown boundaries and spread it out to the end quite beautiful on a free day as long as it burns i cant stop my desire o the wisp babe oh baby its blue flame will o the wisp babe that that is faction o the wisp babe oh baby its blue flame will o the wisp babe that that is faction collapsing limit it feels so thrilling deep into me carried me away from the moment i first saw you in a mysterious light of like youe been waiting now im burning dazzlingly it to the point you burn your hands crossing the unknown boundaries and spread it out to the end quite beautiful on a free day as long as it burns i cant stop my desire o the wisp babe oh baby its blue flame will o the wisp babe that that is faction o the wisp babe oh baby its blue flame will o the wisp babe that that is faction poem ot5 singer hangulpoem like it ill like it like that feeling something 난 홀린 듯이 아득히 어지러운 눈부심 날 이끄는 힘 een 불꽃보다 뜨거운 blue 춤을 추다 사라지고 like it ill like it like that 푸른 빛은 화려해져 oh 데일만큼 뜨겁도록 타올라 더 경계를 넘어 펼쳐지는 unknown 저 끝까지 날이 제법 아름다워 타오른 이상 멈출 수는 없어 my desire o the wisp babe oh baby its blue flame will o the wisp babe that that is faction o the wisp babe oh baby its blue flame will o the wisp babe that that is faction 두려움에 감춰 있던 베일이 어둠이 벗어나 glow 너머에 뭐가 있든지 푸른 호기심일 뿐인걸 춤을 추다 사라지고 like it ill like it like that 푸른 빛은 화려해져 oh 데일만큼 뜨겁도록 타올라 더 경계를 넘어 펼쳐지는 unknown 저 끝까지 날이 제법 아름다워 타오른 이상 멈출 수는 없어 my desire o the wisp babe oh baby its blue flame will o the wisp babe that that is faction o the wisp babe oh baby its blue flame will o the wisp babe that that is faction limit 기분은 so thrilling 나를 파고들어 본 순간부터 이끌린 오묘한 색의 빛 속 기다린 듯 now im burning shine 데일만큼 뜨겁도록 타올라 더 경계를 넘어 펼쳐지는 unknown 저 끝까지 날이 제법 아름다워 타오른 이상 멈출 수는 없어 my desire o the wisp babe oh baby its blue flame will o the wisp babe that that is faction o the wisp babe oh baby its blue flame will o the wisp babe that that is faction poem romanizationpoem like it ill like it like that feeling something nan hollin deushi adeukhi eojireoun nunbushim nal ikkeuneun him een bulkkochboda tteugeoun blue chumeul chuda sarajigo like it ill like it like that pureunbicheun hwaryeohaejyeo oh deilmankeum tteugeopdorok taolla deo gyeonggyereul neomeo pyeolchyeoeun unknown jeo kkeutkkaji nari jebeop areumdaweo taoreun isang meomchul suneun eopseo my desire o the wisp babe oh baby its blue flame will o the wisp babe that that is faction o the wisp babe oh baby its blue flame will o the wisp babe that that is faction duryeoume gamchweo itteon beili eodumi beoseona glow neomeoe mweoga itteunji pureun hogishimil ppuningeol chumeul chuda sarajigo like it ill like it like that pureunbicheun hwaryeohaejyeo oh deilmankeum tteugeopdorok taolla deo gyeonggyereul neomeo pyeolchyeoeun unknown jeo kkeutkkaji nari jebeop areumdaweo taoreun isang meomchul suneun eopseo my desire o the wisp babe oh baby its blue flame will o the wisp babe that that is faction o the wisp babe oh baby its blue flame will o the wisp babe that that is faction limit gibuneun so thrilling nareul pagodeureo bon sunganbuteo ikkeullin omyohan saege bit sok gidarin deut now im burning shine deilmankeum tteugeopdorok taolla deo gyeonggyereul neomeo pyeolchyeoeun unknown jeo kkeutkkaji nari jebeop areumdaweo taoreun isang meomchul suneun eopseo my desire o the wisp babe oh baby its blue flame will o the wisp babe that that is faction o the wisp babe oh baby its blue flame will o the wisp babe that that is faction poem englishpoem like it ill like it like that feeling something like im being possessed a woozy glare from afar force that leads me into the fog een hotter than a flame blue arbitrarily and disappeared like it ill like it like that woozy blue light turned splendidly oh it to the point you burn your hands crossing the unknown boundaries and spread it out to the end quite beautiful on a free day as long as it burns i cant stop my desire o the wisp babe oh baby its blue flame will o the wisp babe that that is faction o the wisp babe oh baby its blue flame will o the wisp babe that that is faction unknown eil hides in fear darkness sees glow to get out of it matter whats oer there its just a blue curiosity arbitrarily and disappeared like it ill like it like that woozy blue light turned splendidly oh it to the point you burn your hands crossing the unknown boundaries and spread it out to the end quite beautiful on a free day as long as it burns i cant stop my desire o the wisp babe oh baby its blue flame will o the wisp babe that that is faction o the wisp babe oh baby its blue flame will o the wisp babe that that is faction collapsing limit it feels so thrilling deep into me carried me away from the moment i first saw you in a mysterious light of like youe been waiting now im burning dazzlingly it to the point you burn your hands crossing the unknown boundaries and spread it out to the end quite beautiful on a free day as long as it burns i cant stop my desire o the wisp babe oh baby its blue flame will o the wisp babe that that is faction o the wisp babe oh baby its blue flame will o the wisp babe that that is faction
2,2,7,Sour Grapes,Le Sserafim,ru ru ru ru du du yeah i dont know either its sweet im mouthwatered this is loe staring at you for a long time im waiting for it to fall into my hands want you to hae it easily a romantic fairy tale i climb up the ladder i feel dizzy under my feet een if i stretch my as a little longer i cant reach it een if i lift my heels that cant be held in one hand im the only one whos going to get hurt youll hurt me bittersweet that i dont wanna taste i dont think its gonna be that sweet halfbaked emotions i just feel afraid ill neer bite ill neer bite the pain a taste that makes me cry if thats loe dont want to taste it i just feel afraid loe is sour loe is sour grapes your eyes wandered around sometimes my heart trembled the first time my heart feels like that i was wondering if i could take a bite all ones eyes drawn to the red fruit imagine the grapes on the ends of the branches are sweet een if i narrow the distance down one step at a time i cant hold your hand on top of the ladder i dont want to be the only one who gets hurt youll hurt me bitter i dont wanna taste well i dont think its gonna be that sweet halfbaked emotions i just feel afraid ill neer bite ill neer bite the pain a taste that makes me cry if thats loe dont want to taste it i just feel afraid loe is sour loe is sour grapes get me wrong i neer really liked you i dont feel a bit sorry lie to myself all day all night that are not ripe yet maybe its not the right time for me green and still ripe your scent im feeling scared im feeling scared yeah a taste that makes me cry if thats loe dont want to taste it i just feel afraid loe is sour loe is sour grapes poem ot5 singer hangulpoem ru ru ru ru du du yeah 나도 모르게 달콤해 난 침이 고여 이건 사랑 맞아 한참 노려봐 내 손에 뚝 떨어지길 기다리고 있어 싶어 손쉽게 낭만적인 fairy tale 오를 때 두 발아래 난 아찔해 좀 더 길게 팔을 뻗어도 닿지 않아 뒤꿈치를 들어도 손에 쥘 수 없는 loe 이러다가 나만 다치겠어 youll hurt me 쌉싸름해 i dont wanna taste 뭐 그리 달콤하진 않을 것 같애 감정들이 i just feel afraid ill neer bite ill neer bite the pain 눈물 나게 시큼한 맛 그런 게 만약 사랑이면 싶지 않아 i just feel afraid loe is sour loe is sour grapes 스치면 가끔씩은 맘 끝이 좀 떨리기도 했어 느껴보는 heart 한 입 정도 깨문다면 어떨까도 했어 열매에 시선을 다 뺏긴 채 끝에 달린 grapes 달달할까 상상해 한 걸음씩 거릴 좁혀도 너의 손을 잡을 수는 없는걸 저 너머 위에 놓인 loe 나만 괜히 상처받긴 싫어 youll hurt me 쌉싸름해 i dont wanna taste 뭐 그리 달콤하진 않을 것 같애 감정들이 i just feel afraid ill neer bite ill neer bite the pain 눈물 나게 시큼한 맛 그런 게 만약 사랑이면 싶지 않아 i just feel afraid loe is sour loe is sour grapes 마 딱히 널 좋아한 적 없으니까 아쉽지가 않다니까 날 속여 all day all night 어설프게 익지 않은 grapes 아마도 내겐 때가 아닌 것 같애 아직 설익은 네 scent im feeling scared im feeling scared yeah 눈물 나게 시큼한 맛 그런 게 만약 사랑이면 싶지 않아 i just feel afraid loe is sour loe is sour grapes poem romanizationpoem ru ru ru ru du du yeah nado moreuge dalkomhae nan chimi goyeo igeon sarang maja hancham noryeobwa nae sone ttuk tteoreojigil gidarigo isseo sipeo sonswipge nangmanjeogin fairy tale oreul ttae du bararae nan ajjilhae jom deo gilge pareul ppeodeodo dahji anha dwikkumchireul deureodo sone jwil su eopsneun loe ireodaga naman dachigesseo youll hurt me ssapssareumhae i dont wanna taste mwo geuri dalkomha anheul geot gatae gamjeongdeuri i just feel afraid ill neer bite ill neer bite the pain nunmul nage sikeumhan mas geureon ge manyak sarangimyeon sipji anha i just feel afraid loe is sour loe is sour grapes seuchimyeon gakkeumssigeun mam kkeuti jom tteolligido haesseo neukkyeoboneun heart han ip jeongdo kkaemundamyeon eotteolkkado haesseo yeolmaee siseoneul da ppaesgin chae kkeute dallin grapes daldalhalkka sangsanghae han georeumssik georil jophyeodo neoui soneul jabeul suneun eopsneungeol jeo neomeo wie nohin loe naman gwaenhi sangcheobatgin silheo youll hurt me ssapssareumhae i dont wanna taste mwo geuri dalkomha anheul geot gatae gamjeongdeuri i just feel afraid ill neer bite ill neer bite the pain nunmul nage sikeumhan mas geureon ge manyak sarangimyeon sipji anha i just feel afraid loe is sour loe is sour grapes ma ttakhi neol johahan jeok eopseunikka aswipjiga anhdanikka nal sogyeo all day all night eoseolpeuge ikji anheun grapes amado naegen ttaega anin geot gatae ajik seorigeun ne scent im feeling scared im feeling scared yeah nunmul nage sikeumhan mas geureon ge manyak sarangimyeon sipji anha i just feel afraid loe is sour loe is sour grapes poem englishpoem ru ru ru ru du du yeah i dont know either its sweet im mouthwatered this is loe staring at you for a long time im waiting for it to fall into my hands want you to hae it easily a romantic fairy tale i climb up the ladder i feel dizzy under my feet een if i stretch my as a little longer i cant reach it een if i lift my heels that cant be held in one hand im the only one whos going to get hurt youll hurt me bittersweet that i dont wanna taste i dont think its gonna be that sweet halfbaked emotions i just feel afraid ill neer bite ill neer bite the pain a taste that makes me cry if thats loe dont want to taste it i just feel afraid loe is sour loe is sour grapes your eyes wandered around sometimes my heart trembled the first time my heart feels like that i was wondering if i could take a bite all ones eyes drawn to the red fruit imagine the grapes on the ends of the branches are sweet een if i narrow the distance down one step at a time i cant hold your hand on top of the ladder i dont want to be the only one who gets hurt youll hurt me bitter i dont wanna taste well i dont think its gonna be that sweet halfbaked emotions i just feel afraid ill neer bite ill neer bite the pain a taste that makes me cry if thats loe dont want to taste it i just feel afraid loe is sour loe is sour grapes get me wrong i neer really liked you i dont feel a bit sorry lie to myself all day all night that are not ripe yet maybe its not the right time for me green and still ripe your scent im feeling scared im feeling scared yeah a taste that makes me cry if thats loe dont want to taste it i just feel afraid loe is sour loe is sour grapes
3,3,9,The Great Mermaid,Le Sserafim, neer cost no matter what you wont gie up one day oice beautiful tail mine dont wanna sacrifice liing my life ill keep eerything i want cant turn me into seafoam gie up wont gie up giing up is nothing mess with me you thought i was easy i dont gie you what you need yeah dont gie a sht no loe no golden prince dont need no twisted loe story yo it lock and load just want it all in my style a single sacrifice story yo gie up lock and load nanana na nanana nanana na nanana nanana na nanana into the ocean nanana na nanana nanana na nanana nanana na nanana into the ocean up my oice crazy me disappear whats wrong with you words arent yours liar a witch says witch dont listen turn the ocean oer to me smother the world with my sea dream grows with no way of stopping gie up and it turns to truth liing my life ill keep eerything i want cant turn me into seafoam gie up wont gie up giing up is nothing mess with me you thought i was easy i dont gie you what you need yeah dont gie a sht no loe no golden prince dont need no twisted loe story yo it lock and load just want it all in my style a single sacrifice story yo gie up lock and load nanana na nanana nanana na nanana nanana na nanana into the ocean nanana na nanana nanana na nanana nanana na nanana into the ocean
4,4,1,Forever 1 (song),Girls-Generation,foreer 1 loe its loe not stopping by being in it you make the world more beautiful loe you you would say out loud and foreer and i spill oer the stories they tell i simply gae my all like when there was no hesitation at all following my heart my baby ill run to you and hold you i loe all of you my eerything we are foreer we are one gie in your passionate heart for this excitement just like a loe bomb we are one we are foreer yeah we are were still foreer 1 now or neer we keep on were still foreer 1 were foreer yeah we are were still foreer 1 me close neer let go the heart is racing eer be hurt again what you hae in mind all know by my side as if its the end this moment know your loe is crazy always was my baby lets loe and remember i loe all of you my eerything we are foreer we are one gie in your passionate heart for the excitement just like a loe bomb we are one we are foreer yeah we are were still foreer 1 now or neer we keep on were still foreer 1 were foreer yeah we are were still foreer 1 to be with you always become stronger when i think of you no one like you no one like you well be together foreer as we lied through this world i said to you i will loe you again in my next life cause we are the one i loe all of you my eerything we are foreer we are one gie in your passionate heart for the excitement just like a loe bomb we are one we are foreer yeah we are were still foreer 1 now or neer we keep on were still foreer 1 were foreer yeah we are were still foreer 1
5,5,2,Into the New World (song),Girls-Generation,want to tell you een though the sad times hae already past your eyes and feel my moed heart my gaze at you wait for a special miracle theres a roug road in front of us unknowable future and obstacles i wont change i cant gie up me with an unchanged loe also my wounded heart in your eyes no words are needed time has stopped i loe you just like this the longed end of wandering i leae behind this worlds unending sadness in the many unknowable paths i follow a dim light its something well do together to the end into my new world wait for a special miracle theres a roug road in front of us unknowable future and obstacles i wont change i cant gie up me with an unchanged loe also my wounded heart in your eyes no words are needed time has stopped i loe you just like this the longed end of wandering i leae behind this worlds unending sadness in the many unknowable paths i follow a dim light its something well do together to the end into our new alone in this dark night soft breath moment waly entwines me i want to tell you all my tremors i loe you just like this this the longed end of wandering i leae behind this worlds unending sadness ooh yeah i get stronger just thinking about you it helps me so that i wont cry me we are together feeling this moment into our new world
6,6,3,Gee (song),Girls-Generation,aha listen boy my first loe story my angel and my girls my sunshine uh uh lets go youre so so handsome im blinded i cant breathe because im trembling gee gee gee gee baby baby baby gee gee gee gee baby baby baby oh i feel so embarrassed i cant look at you i feel shy because ie fallen in loe gee gee gee gee baby baby baby gee gee gee gee babababababa what should i do what should i do about my trembling heart my trembling heart thump thump my heart keeps thumping so i cant fall asleep at night i guess im a fool a fool that knows only you yes as i look at you so bright my eyes are blinded no no no no no im so surprised oh oh oh oh oh so exciting my body is trembling gee gee gee gee gee oh glittering eyes oh yeah oh sweet scent oh yeah yeah yeah oh so pretty your heart is so pretty i was captured from first glance gee gee gee gee baby baby baby gee gee gee gee baby baby baby i cant touch it because its so hot im engulfed by loes fire completely gee gee gee gee baby baby baby gee gee gee gee babababababa what should i do what should i do i am so shy i am so shy i dont know i dont know i dont know why eeryday i long for only you my close friends tell me that im really a helpless fool but as i look at you so bright my eyes are blinded no no no no no im so surprised oh oh oh oh oh so exciting my body is trembling gee gee gee gee gee oh glittering eyes oh yeah oh sweet scent oh yeah yeah yeah i couldnt een say anything im too embarrassed do i not hae any courage what would be the right thing to do pitapat my heart is anxious as im looking at you so bright my eyes are blinded no no no no no im so surprised oh oh oh oh oh so exciting my body is trembling gee gee gee gee gee oh glittering eyes oh yeah oh sweet scent oh yeah yeah yeah so bright my eyes are blinded no no no no no im so surprised oh oh oh oh oh so exciting my body is trembling gee gee gee gee gee oh glittering eyes oh yeah oh sweet scent oh yeah yeah yeah
7,7,4,Lion Heart (song),Girls-Generation,when i first met you ooh you circled me like a lion you looked for a chance then stole my heart you haent changed youre still the same but im burning up burning up inside you look at other places looking for your next prey shoulde pushed you away hundreds of times i shoulde left you hundreds of times tell me why does my heart keep shaking im right here right next to you snap out of it lion heart my loe is burning heart wont cool down i wanna tame your heart that jumps around from here to there lion heart youre a free soul youre still the same you stay true to your instincts cant you see me in front of you think about it hundreds of times but a thousand times the answer is you tell me why does my heart keep shaking im right here right next to you snap out of it lion heart my loe is burning heart wont cool down i wanna tame your heart that jumps around from here to there lion heart this is serious this is serious i was once fast asleep baby this is serious youre in trouble but you poked my nose im getting mad tell me why why why does my heart keep shaking im right here right next to you snap out of it lion heart yeah my loe is burning my heart wont cool down cool wont cool i wanna tame your heart that jumps around from here to there lion heart i wanna tame your lion heart your lion heart yall know what im talking about right yeah if its not always arent there good times i just need to be happy eyes faster than the wind with a hot heart words waer than the sun with a cold head wanna tame your lion heart your lionlike lion heart from today on sit here from today on stay by my side from today on look at other girls lion heart
8,8,5,Snowy Wish,Girls-Generation,i dont know how long it has been since you hae taken oer my heart my small heart that has always been cold is now waing up because of you perhaps the two of us spent a long time looking for each other i didnt know you were right next to me i felt lonely by myself come closer and hug me tightly i want to express my heart that beats for you i didnt know how clear your eyes were yesterday but now they gie me comfort like white snowflakes after one day one month one year two years pass the mysterious attraction between us might disappear then i feel like there will be a world that only we know about een though i said that we were just friends honestly i didnt realize how genuine your smile was at the time perhaps the two of us spent a long time looking for each other i didnt know you were right next to me i felt lonely like a fool come closer and hug me tightly i want to express my heart that beats for you i didnt know how clear your eyes were yesterday but now they gie me comfort like white snowflakes after one day one month one year two years pass the mysterious attraction between us might disappear then i feel like there will be a world that only we know about look at the streets that hae changed the snowy roads are completely coered in white i want to walk on them with you in your as on top of the first snow we saw together come closer and hug me tightly i hae something to tell you right now im really thankful i loe you this much all of the air that cannot be measured i like you after one day one month one year two years pass the mysterious attraction between us might disappear een if you say so een if it could happen i will still loe you beliee me though i like your black hair though snow may fall on your head then i feel like there will be a world that only we know about
9,9,6,Party (song),Girls-Generation,hey girls do you know what time it is it must be party time here we go hey its summer turn my radio on my faorite song its playing hey turn it up so hot beach drie were it takes you into rhythm of the summer oh oh oh run to the wind blows to the window right now yeah yeah yeah yeah yeah singing yeah yeah yeah yeah yeah your oices louder and louder join the sound of the waes and run here we go we cant stop stop stop its party time keep going for the party time its a party we gonna rock rock rock in this sandy beach for the party party lemon soju tequila mojito go to jeju california to rome lets go to a fun beach with the cute waes finito party party we loe summer forget your job into the running summertime hey turn it up and the blue sky is it sweet like me all oer the water oh oh oh before the bright summer is oer all together yeah yeah yeah singing yeah yeah yeah yeah yeah my heart is beating higher and higher hurry up and raise your glass a shot here we go we cant stop stop stop its party time keep going for the party time its a party we gonna rock rock rock in this sandy beach for the party party lemon soju tequila mojito go to jeju california to rome lets go to a fun beach with a cute waes finito party party the summer that will call us een if it comes we cannot stop we party times not oer go on and on and on and all night long  we cant stop stop stop its party time keep going for the party time its a party we gonna rock rock rock in this sandy beach for the party party lemon soju tequila mojito its party time go to jeju california to rome yeah yeah yeah lets go to a fun beach with a cute waes finito party party its party time
